Data,ALE,MBK,PCO,ZAB,value
2025-01-02,25000.0,25000.0,25000.0,24999.999999999996,100000.0
2025-01-03,24526.381019830027,25283.98680835471,24821.086919667723,25256.222547584188,99887.67729543665
2025-01-07,24433.427762039664,25522.169292781244,25104.290281175076,26232.308443142996,101292.19577913897
2025-01-08,24061.614730878187,25393.91718578234,24358.970477828098,26732.552464616885,100547.0548591055
2025-01-09,24057.188385269124,25906.925613777945,24575.11927538689,27025.378233284526,101564.6115077185
2025-01-10,23548.158640226633,25851.960425064128,24448.275653290064,27403.61151781357,101252.00623639439
2025-01-13,22724.858356940513,25100.769512641997,23852.050083553317,27074.182528062473,98751.86048119831
2025-01-14,22932.896600566575,25787.834371564677,23568.846722045968,27037.579306979012,99327.15700115623
2025-01-15,23587.995750708218,26255.038475632104,24426.02504177666,27574.42654953636,101843.48581765335
2025-01-16,23610.127478753544,25650.42139978014,22406.063064590347,27909.9560761347,99576.56801925873
2025-01-17,23818.165722379606,25934.408208134853,22160.09542030951,30191.556857003416,102104.22620782739
2025-01-20,23667.66997167139,26612.312202271896,22808.54181298588,29282.576866764277,102371.10085369344
2025-01-21,23680.949008498585,26566.507878343717,22666.86444988012,28855.539287457294,101769.86062417971
2025-01-22,23849.150141643062,26960.42506412606,22778.722966263835,29587.603709126404,103175.90188115936
2025-01-23,23782.754957507084,26997.068523268597,22666.86444988012,28898.243045387993,102344.93097604379
2025-01-24,24141.28895184136,27400.146573836573,22965.05291710058,29136.16398243045,103642.65242520897
2025-01-27,24039.483002832865,27390.985709050936,23464.405076166717,29062.957540263542,103957.83132831406
2025-01-28,25314.27053824363,27674.972517405648,24694.39466227507,28825.036603221084,106508.67432114543
2025-01-29,25557.719546742213,28142.17662147307,24880.724613111815,29038.555392874572,107619.17617420168
2025-01-30,26646.60056657224,28930.010993037748,25752.736673851447,29380.185456320152,110709.53368978159
2025-01-31,26562.5,28847.563209967022,25722.9178271294,28477.306002928257,109610.28704002468
2025-02-03,25354.107648725214,28673.506779039944,25342.84105495144,28092.972181551973,107463.42766426857
2025-02-04,26115.43909348442,28627.702455111765,25789.972391077958,28288.189360663735,108821.30330033787
2025-02-05,25942.81161473088,28087.211432759257,25327.855949238336,27598.82869692533,106956.70769365379
2025-02-06,26248.229461756375,29974.34957860022,26028.52316485433,28129.57540263543,110380.67760784634
