,0
ALIOR,0.0
ALLEGRO,0.0
ASSECOPOL,230.91995602054632
BENEFIT,330.4871338026166
BUDIMEX,556.5577970245047
CCC,0.0
CDPROJEKT,37.04858024568044
CYFRPLSAT,0.0
DINOPL,0.0
ENEA,37.54220780277763
JSW,0.0
KETY,606.0797271006148
KGHM,106.33772862611656
KRUK,320.5706080156991
LPP,284.17771004504283
MBANK,0.0
MILLENNIUM,0.0
ORANGEPL,484.2060343536321
PEKAO,1273.8692853756254
PEPCO,0.0
PGE,0.0
PKNORLEN,646.0205765442502
PKOBP,583.5581848046855
PZU,992.5655988220029
RAINBOW,500.1613775780022
SANPL,890.7030862844226
SYNEKTIK,111.00838448663812
TAURONPE,0.0
XTB,528.8573760867916
ZABKA,0.0
