,ROA,AAGR,DY,P/E,beta,label,sektor
ALIOR,0.0091963514580634,0.582233133474904,0.0,4.404444271202276,1.4639403261613042,A,Finanse
ALLEGRO,0.0121775658838312,0.5398429626120081,0.0,45.46068920267905,0.7726075676292844,B,Handel i Usługi
ASSECOPOL,0.0572540714001647,0.1462146341568796,0.0459660942156223,4.617201812855305,0.559912509149137,C,Technologia
BENEFIT,0.1378988780426597,1.577394377197438,0.0282437098368144,12.357454518486756,0.781190293929314,C,Handel i Usługi
BUDIMEX,0.0631303719276088,0.3810186238144197,0.0764358615432705,15.23739206381074,1.0752893084104231,C,Przemysł i Energetyka
CCC,0.0786539207790577,-7.218112313353876,0.0,-7.354879208698481,1.2012285893421892,A,Handel i Usługi
CDPROJEKT,0.1694305677951412,1.157899642940344,0.0075700040685155,31.22523062349121,0.9029995868517066,C,Technologia
CYFRPLSAT,0.0748069833417882,0.5848479422735444,0.016061562982251,19.05433577794427,0.942004134096241,C,Technologia
DINOPL,0.1099444520749635,0.3072575664129452,0.0,2.7382458366656075,0.980722333008412,C,Handel i Usługi
ENEA,0.0226637811770213,-1.1656121483084732,0.0071431687624773,10.45929248085825,0.8962528033409273,A,Przemysł i Energetyka
JSW,0.0178373950464614,-0.7834045384694098,0.0,1.8907003709500545,0.8737202810357861,A,Przemysł i Energetyka
KETY,0.1036241324030549,0.1630266977676628,0.1079978807828554,9.087224023788552,0.8248587162271008,C,Przemysł i Energetyka
KGHM,0.0891680137702872,0.4939611682676002,0.0147304432660337,2.686588261314879,1.1799708320612916,A,Przemysł i Energetyka
KRUK,0.084952849960354,1.468835829368104,0.0463730773270777,6.740452508884517,0.9487009784227962,C,Finanse
LPP,0.1035437539897771,1.295840296411905,0.0388928598453671,21.36370738555887,1.5368978889606897,C,Handel i Usługi
MBANK,0.0064757259433309,16.085603552941212,0.0,236.92656266629368,1.4042404889999838,B,Finanse
MILLENNIUM,0.0050919000354487,-11.6633447042737,0.0,13.609556611138736,1.2615739297388255,A,Finanse
ORANGEPL,0.023436130689594,6.906461223995412,0.0548680856153095,10.312467089766685,0.6399091606284721,C,Technologia
PEKAO,0.0154129268064193,0.613739754807632,0.0886786225063157,6.484362245608213,1.4103201600933486,A,Finanse
PEPCO,-0.0025255579790489,58.14029155669766,0.0042148763989821,18.96920510960369,1.1207248200379916,B,Handel i Usługi
PGE,0.0226343788555403,4.895286908591793,0.0,-1.028443594218298,1.0805544187528062,A,Przemysł i Energetyka
PKNORLEN,0.0448936813322316,0.6613169778387139,0.0687982380729484,16.745428305830224,0.957182713919088,C,Przemysł i Energetyka
PKOBP,0.0121452860504585,0.4586683382818733,0.0483652929659361,7.974316299017073,1.298060026920976,A,Finanse
PZU,0.0249517566268783,0.3905533467448142,0.0945464172487899,2.9766673974869065,1.108412210934557,A,Finanse
RAINBOW,0.0762028689900256,1.3359830382471023,0.077725357011856,5.935812966911159,0.9449967113561688,C,Handel i Usługi
SANPL,0.0153528608095,0.325076046680518,0.065682767777721,7.337333859852738,1.3064214852589453,A,Finanse
SYNEKTIK,0.0757698375978066,1.0185936463506076,0.0236548909707223,11.34712751359866,1.1561649344196974,C,Technologia
TAURONPE,0.0087752888766021,-39.85355531064742,0.0,-7.079223859849819,0.8507620994892123,A,Przemysł i Energetyka
XTB,0.1213198786851121,1.5793783729300437,0.1176045076015728,4.767536866643341,0.8832671836142437,C,Finanse
ZABKA,0.0337379266318057,0.122290917457752,0.0,33.64427808238437,0.6037686167899824,B,Handel i Usługi
