Data,A,B,C,WIG
2025-01-02,100000.0,100000.0,100000.0,80936.61
2025-01-03,101055.89025011793,99887.67729543665,100122.03089203748,81444.58
2025-01-07,102126.7443634948,101292.19577913896,100036.79462796834,82190.4
2025-01-08,100968.47833275687,100547.0548591055,98520.05068140704,81250.71
2025-01-09,101921.20882119982,101564.6115077185,99170.92146305268,81857.12
2025-01-10,102142.66218883828,101252.0062363944,99646.92247682682,82210.47
2025-01-13,101577.23343873178,98751.86048119832,98042.865735858,80971.81
2025-01-14,101858.35430041852,99327.15700115624,98661.85699937926,81464.24
2025-01-15,103518.6864142825,101843.48581765336,100456.46902260324,82883.69
2025-01-16,102357.29619684692,99576.56801925872,101118.92373051983,82705.76
2025-01-17,103835.06689448912,102104.2262078274,102376.14280515345,83676.42
2025-01-20,105012.64177121352,102371.10085369344,103864.48103803916,84254.98
2025-01-21,104602.51514609404,101769.86062417972,103730.83673740795,84425.62
2025-01-22,105401.27422751884,103175.90188115936,104002.9400780034,85298.3
2025-01-23,105170.0686342979,102344.9309760438,103902.79101362504,85248.16
2025-01-24,106364.6430796363,103642.65242520896,104493.35425170272,85840.78
2025-01-27,105720.28951253968,103957.83132831406,103891.95940775794,85548.18
2025-01-28,106410.26386852282,106508.67432114544,104628.18777107744,86194.5
2025-01-29,106657.05318155292,107619.17617420168,103987.08840452202,86203.19
2025-01-30,108594.0370970839,110709.5336897816,105570.830965442,87612.13
2025-01-31,108370.89446086503,109610.28704002468,105731.68297628814,87367.57
2025-02-03,106647.5873115813,107463.42766426856,103788.56991936354,85963.68
2025-02-04,107220.8417722376,108821.30330033788,105365.51471298674,86793.21
2025-02-05,105405.16660215464,106956.7076936538,105941.49182758016,86131.83
2025-02-06,108207.88452273078,110380.67760784634,107807.99212719416,88376.12
2025-02-07,109936.8715649374,110599.1120339496,108348.15036846494,89150.14
2025-02-10,111519.55156605084,112452.03363944276,109367.83732116046,89895.48
2025-02-11,113625.27472734932,113247.26415318344,110071.5328442684,90993.39
2025-02-12,114162.41272246496,112889.37023384708,110863.29476784206,91778.14
2025-02-13,114639.96431795406,113319.32718163532,111968.23081048358,92342.43
2025-02-14,113824.99838045632,112820.41604329324,111658.23394246802,91788.05
2025-02-17,114952.50421681632,114882.08642770108,112477.768460022,92461.23
2025-02-18,117620.85980124936,115955.99475062794,114573.74055972396,94650.54
2025-02-19,116399.08762365748,114186.2450434598,112650.97504054553,93461.23
2025-02-20,116176.93151172092,112923.2781713,111656.3126171184,92958.43
2025-02-21,116290.86791109144,113337.90228049882,112351.55058167248,93117.48
2025-02-24,113497.59156992688,110343.50834029754,110552.78686110044,91306.52
2025-02-25,114007.66928586506,111499.51548110796,110693.68202432488,91730.25
2025-02-26,116926.18546184362,114760.16611377106,112499.94387800086,93267.22
2025-02-27,115259.43390729468,112196.45898186992,111071.93622439426,92380.21
2025-02-28,114109.35272526472,111449.27049167114,111135.7987223312,91996.4
2025-03-03,115261.11762812074,111495.79921177018,111050.18275456752,92526.5
2025-03-04,110770.76194590732,108283.46045108452,107750.74117986172,89280.31
