,ROA,AAGR,DY,P/E,beta,label,sektor
ALIOR,-0.990744116126684,-0.0570800369842519,-0.935299136304709,-0.3300187908723488,1.7223422299797682,A,Finanse
ALLEGRO,-0.924720146533774,-0.0602250590350253,-0.935299136304709,0.6453199513226294,-1.0357319198273405,B,Handel i Usługi
ASSECOPOL,0.0735743081827945,-0.0894292294264223,0.312590956986323,-0.324964488575227,-1.8842795046856895,C,Technologia
BENEFIT,1.859588160647929,0.0167532123721912,-0.1685373240476958,-0.1410858033525083,-1.001491107062665,C,Handel i Usługi
BUDIMEX,0.2037147918693537,-0.0720085936976595,1.1397859023452497,-0.0726695449308117,0.171817808670603,C,Przemysł i Energetyka
CCC,0.5475096925257016,-0.6358051974293892,-0.935299136304709,-0.6093751662810761,0.6742529542591966,A,Handel i Usługi
CDPROJEKT,2.5579100617620134,-0.0143700448019542,-0.7297882430153951,0.3071401131916227,-0.515532561240375,C,Technologia
CYFRPLSAT,0.4623128418098416,-0.056886038442541,-0.499258927312816,0.0180063823826928,-0.3599238009835763,C,Technologia
DINOPL,1.240490737086026,-0.0774810923286817,-0.935299136304709,-0.3696012682299483,-0.2054574282725501,C,Handel i Usługi
ENEA,-0.6924854056583406,-0.1867566068270137,-0.7413759917454338,-0.1861788452844425,-0.5424488746448459,A,Przemysł i Energetyka
JSW,-0.7993737825471181,-0.1583997652184937,-0.935299136304709,-0.3897356943048059,-0.6323424411405575,A,Przemysł i Energetyka
KETY,1.100516708304755,-0.0881819046410156,1.996633363619282,-0.2187739237032624,-0.82727580304882,C,Przemysł i Energetyka
KGHM,0.7803618315566534,-0.0636291324795256,-0.5353962397209561,-0.3708284538785996,0.5894450667177269,A,Przemysł i Energetyka
KRUK,0.6870099931881376,0.0086990097168762,0.323639757228945,-0.2745242043581469,-0.3332067201069597,C,Finanse
LPP,1.0987365941780047,-0.0041359176909952,0.1205663952134145,0.0728681848390774,2.0134066494023206,C,Handel i Usługi
MBANK,-1.0509969093192202,1.0931498591921622,-0.935299136304709,5.193813962622062,1.484169547447026,B,Finanse
MILLENNIUM,-1.0816440438809565,-0.965606979438527,-0.935299136304709,-0.1113406651357738,0.9150008739190236,A,Finanse
ORANGEPL,-0.6753804365248086,0.412128659133955,0.5542627167430213,-0.1896668528338067,-1.5651326194942747,C,Technologia
PEKAO,-0.8530676785567245,-0.054742489934553,1.472153060813152,-0.2806079257430219,1.508424413826488,A,Finanse
PEPCO,-1.250345366394827,4.213281682628105,-0.8208734363950493,0.0159840045661121,0.3530829209579918,B,Handel i Usługi
PGE,-0.6931365691448189,0.2629151164390879,-0.935299136304709,-0.459083346727118,0.1928229824483421,A,Przemysł i Energetyka
PKNORLEN,-0.2001671613834345,-0.0512126288252106,0.9324392737586772,-0.0368443939962686,-0.2993688104619759,C,Przemysł i Energetyka
PKOBP,-0.9254350373241318,-0.0662475868589219,0.3777245386717403,-0.2452123381824564,1.06056226996674,A,Finanse
PZU,-0.6418143703161654,-0.071301191173591,1.6314522802388944,-0.3639372873755929,0.3039617293671706,A,Finanse
RAINBOW,0.493227059451422,-0.0011576374510185,1.1747931973536785,-0.2936393504241953,-0.3479849048730641,C,Handel i Usługi
SANPL,-0.8543979403184717,-0.0761590992295258,0.8478603121632099,-0.2603445952130676,1.0939203335215624,A,Finanse
SYNEKTIK,0.4836368564705415,-0.0247054697875413,-0.2931148349417394,-0.1650872937907555,0.494471365431454,C,Technologia
TAURONPE,-1.000069249815433,-3.0571020635169424,-0.935299136304709,-0.6028266535840651,-0.7239341764788896,A,Przemysł i Energetyka
XTB,1.4924185468145723,0.0169004094747428,2.2574346050905896,-0.3213931049157092,-0.5942550441708518,C,Finanse
ZABKA,-0.4472299700028398,-0.0912041837383208,-0.935299136304709,0.3646073927688138,-1.709315429422979,B,Handel i Usługi
