Data,Zamkniecie
2025-01-02,80936.61
2025-01-03,81444.58
2025-01-07,82190.4
2025-01-08,81250.71
2025-01-09,81857.12
2025-01-10,82210.47
2025-01-13,80971.81
2025-01-14,81464.24
2025-01-15,82883.69
2025-01-16,82705.76
2025-01-17,83676.42
2025-01-20,84254.98
2025-01-21,84425.62
2025-01-22,85298.3
2025-01-23,85248.16
2025-01-24,85840.78
2025-01-27,85548.18
2025-01-28,86194.5
2025-01-29,86203.19
2025-01-30,87612.13
2025-01-31,87367.57
2025-02-03,85963.68
2025-02-04,86793.21
2025-02-05,86131.83
2025-02-06,88376.12
2025-02-07,89150.14
2025-02-10,89895.48
2025-02-11,90993.39
2025-02-12,91778.14
2025-02-13,92342.43
2025-02-14,91788.05
2025-02-17,92461.23
2025-02-18,94650.54
2025-02-19,93461.23
2025-02-20,92958.43
2025-02-21,93117.48
2025-02-24,91306.52
2025-02-25,91730.25
2025-02-26,93267.22
2025-02-27,92380.21
2025-02-28,91996.4
2025-03-03,92526.5
2025-03-04,89280.31
2025-03-05,92060.85
2025-03-06,93444.96
2025-03-07,93611.8
2025-03-10,92203.3
2025-03-11,91991.0
2025-03-12,93428.42
2025-03-13,94955.29
2025-03-14,97045.24
2025-03-17,98011.87
2025-03-18,98770.37
2025-03-19,98439.39
2025-03-20,97609.94
2025-03-21,96891.23
2025-03-24,98281.71
2025-03-25,99487.67
2025-03-26,98547.63
2025-03-27,98745.21
2025-03-28,97819.39
2025-03-31,95953.33
2025-04-01,97511.08
2025-04-02,97963.95
2025-04-03,94482.05
2025-04-04,89040.0
2025-04-07,87727.11
2025-04-08,90412.02
2025-04-09,87988.57
2025-04-10,91690.85
2025-04-11,91120.04
2025-04-14,93759.46
2025-04-15,94140.8
2025-04-16,94136.7
2025-04-17,95165.01
2025-04-22,97124.61
2025-04-23,99675.82
2025-04-24,100115.26
2025-04-25,100156.88
2025-04-28,100492.85
2025-04-29,100815.9
2025-04-30,98722.91
2025-05-02,101199.94
2025-05-05,100437.08
2025-05-06,99195.99
2025-05-07,100382.72
