,ROE,ROA,AAGR,DY,dynamika EPS,P/E,P/BV,std,beta
ALIOR,0.0950541284986455,0.009196351458063455,0.582233133474904,0.0,13.170178254706386,4.4044442712022756,0.7498557673227992,0.02213157372427116,1.4639403261613042
ALLEGRO,0.017509149211926523,0.012177565883831268,0.5398429626120081,0.0,-0.18865684339263156,45.46068920267905,3.4621807943633907,0.02066085570793459,0.7726075676292844
ASSECOPOL,0.0919666645525485,0.05725407140016478,0.14621463415687966,0.045966094215622304,15.685886512165302,4.617201812855305,0.6238461239032514,0.014390280798154392,0.559912509149137
BENEFIT,0.2751659274284899,0.1378988780426597,1.5773943771974381,0.028243709836814474,116.94270440537848,12.357454518486756,4.2122587925708865,0.021074975205227324,0.781190293929314
BUDIMEX,0.3961298877324675,0.06313037192760883,0.38101862381441975,0.07643586154327059,25.039765482555794,15.23739206381074,7.163568933006554,0.021307589063809643,1.0752893084104231
CCC,-0.09300885463308915,0.0786539207790577,-7.218112313353876,0.0,1.652124052670518,-7.354879208698481,4.090119761690375,0.03549042170122025,1.2012285893421892
CDPROJEKT,0.207469412757184,0.16943056779514126,1.157899642940344,0.007570004068515595,4.320896215743526,31.225230623491214,5.562457074238966,0.020639427825149322,0.9029995868517066
CYFRPLSAT,0.17234065654381142,0.07480698334178829,0.5848479422735444,0.01606156298225102,1.0371940669447206,19.05433577794427,0.6452298954101564,0.024494759941382144,0.942004134096241
DINOPL,0.2527037487845288,0.10994445207496353,0.3072575664129452,0.0,13.746576227390179,2.7382458366656075,0.6716196696212059,0.02474502504455552,0.980722333008412
ENEA,0.0350415269536165,0.022663781177021333,-1.1656121483084732,0.007143168762477367,0.3979616629123688,10.45929248085825,0.2739648013106775,0.023790720560263583,0.8962528033409273
JSW,-0.013525473978554772,0.017837395046461497,-0.7834045384694098,0.0,3.7824202645196983,1.8907003709500545,0.3604431250076447,0.02476417453556388,0.8737202810357861
KETY,0.18803798563458052,0.10362413240305494,0.16302669776766282,0.1079978807828554,61.33699980869648,9.087224023788552,2.743254030673611,0.017487318665077856,0.8248587162271008
KGHM,0.12594605293533687,0.08916801377028725,0.4939611682676002,0.01473044326603378,6.588333333333334,2.686588261314879,0.8152924764540646,0.023162437355159802,1.1799708320612916
KRUK,0.21516247157504742,0.08495284996035404,1.4688358293681039,0.04637307732707771,49.347670113197914,6.740452508884517,1.6705158693858273,0.018034875707730106,0.9487009784227962
LPP,0.2176247455914032,0.10354375398977718,1.2958402964119047,0.03889285984536717,690.6144979924467,21.36370738555887,4.659503923725084,0.03345622309528002,1.5368978889606895
MBANK,0.06750783213087133,0.006475725943330981,16.085603552941212,0.0,12.2650892008015,236.92656266629368,1.2417646393409516,0.02009008547127038,1.4042404889999838
MILLENNIUM,0.04760232849267553,0.005091900035448756,-11.663344704273701,0.0,0.35581240667319536,13.609556611138736,1.2043609100577308,0.021114788178119865,1.2615739297388255
ORANGEPL,0.043042480878549005,0.02343613068959403,6.906461223995412,0.0548680856153095,0.6235597742445093,10.312467089766685,0.6257322812630576,0.0136878124101208,0.6399091606284721
PEKAO,0.12457776646464286,0.015412926806419376,0.613739754807632,0.08867862250631571,18.641481691328366,6.484362245608213,0.8850878043525802,0.01873291465973512,1.4103201600933486
PEPCO,0.007178939609146691,-0.002525557979048925,58.14029155669766,0.0042148763989821895,-1.0730195688641768,18.96920510960369,4.325198531468944,0.025656369809535035,1.1207248200379916
PGE,0.029207472955923488,0.02263437885554031,4.895286908591793,0.0,-0.683391029705528,-1.0284435942182981,0.3467048293891722,0.02271339946532255,1.0805544187528062
PKNORLEN,0.08255479330583994,0.04489368133223162,0.6613169778387139,0.06879823807294848,16.00424415327556,16.745428305830224,0.42456495055830495,0.01643531678824009,0.9571827139190879
PKOBP,0.10847165633548235,0.012145286050458589,0.45866833828187337,0.048365292965936134,4.837866666666667,7.974316299017073,1.008469004049226,0.017178567803849413,1.2980600269209759
PZU,0.1621160723142886,0.02495175662687834,0.39055334674481423,0.09454641724878993,11.554218397579836,2.9766673974869065,0.5016315896520838,0.016583841096893766,1.1084122109345573
RAINBOW,0.22183372417115113,0.07620286899002567,1.3359830382471025,0.07772535701185602,10.97549019607843,5.935812966911159,2.073632743418585,0.025906753070221458,0.9449967113561687
SANPL,0.11717296266434886,0.015352860809500008,0.325076046680518,0.06568276777772103,43.061909584792794,7.3373338598527384,0.9804267871199333,0.017795150766938488,1.3064214852589453
SYNEKTIK,0.15303626700389467,0.07576983759780663,1.0185936463506076,0.02365489097072233,9.299347369858438,11.347127513598661,4.737195800226027,0.028684296775557318,1.1561649344196974
TAURONPE,0.01699727878884708,0.008775288876602153,-39.85355531064742,0.0,0.40588489874730077,-7.079223859849819,0.3070405136230042,0.022055166676378697,0.8507620994892123
XTB,0.32176898546026916,0.12131987868511213,1.5793783729300437,0.11760450760157282,6.8479821868536135,4.767536866643341,2.145858129920549,0.02383990496146963,0.8832671836142437
ZABKA,0.4267784294553796,0.033737926631805755,0.12229091745775204,0.0,0.44424833333333336,33.64427808238437,14.35865216016005,0.024144242461242176,0.6037686167899824
