,ROE,ROA,AAGR,DY,dynamika EPS,P/E,P/BV,std,beta
ALIOR,-0.35538036933890554,-0.9907441161266839,-0.05708003698425199,-0.935299136304709,-0.2001424572562729,-0.33001879087234887,-0.5823246735403277,0.02542009557187054,1.7223422299797682
ALLEGRO,-1.010564971437059,-0.924720146533774,-0.06022505903502537,-0.935299136304709,-0.30825253535531366,0.6453199513226294,0.35829747147889,-0.2778766175652312,-1.0357319198273405
ASSECOPOL,-0.3814666337962927,0.07357430818279452,-0.08942922942642237,0.31259095698632305,-0.17978339045208816,-0.324964488575227,-0.6260242522798738,-1.5710169330375379,-1.8842795046856897
BENEFIT,1.1664006460213436,1.859588160647929,0.016753212372191215,-0.1685373240476958,0.6396654918874644,-0.14108580335250834,0.6184211545079364,-0.1924754183008382,-1.001491107062665
BUDIMEX,2.188436178546814,0.20371479186935373,-0.0720085936976595,1.1397859023452497,-0.10408453058953969,-0.07266954493081171,1.6419222641601687,-0.144504959005123,0.17181780867060306
CCC,-1.9443416651691865,0.5475096925257016,-0.6358051974293892,-0.935299136304709,-0.2933555054140632,-0.6093751662810761,0.5760638868235586,2.780329356015435,0.6742529542591966
CDPROJEKT,0.5944266196391128,2.5579100617620134,-0.014370044801954262,-0.7297882430153951,-0.2717577265014822,0.3071401131916227,1.0866638581818437,-0.2822955519537733,-0.515532561240375
CYFRPLSAT,0.2976205546486041,0.4623128418098416,-0.05688603844254103,-0.499258927312816,-0.29833199687413947,0.01800638238269284,-0.6186084563030281,0.5127647831456359,-0.35992380098357635
DINOPL,0.9766156501070843,1.240490737086026,-0.07748109232868175,-0.935299136304709,-0.19547779679857766,-0.3696012682299483,-0.6094566010579897,0.5643753450359975,-0.20545742827255017
ENEA,-0.8624323129440928,-0.6924854056583406,-0.18675660682701375,-0.7413759917454338,-0.3035051623946279,-0.18617884528444253,-0.747361524501365,0.3675752717366183,-0.5424488746448459
JSW,-1.2727793331320918,-0.7993737825471181,-0.15839976521849372,-0.935299136304709,-0.2761154924828549,-0.3897356943048059,-0.7173712300040049,0.5683244213487593,-0.6323424411405575
KETY,0.43024871973344225,1.1005167083047547,-0.0881819046410156,1.996633363619282,0.18966090521845666,-0.21877392370326249,0.10897689675726598,-0.9323347417098026,-0.82727580304882
KGHM,-0.09437168242877467,0.7803618315566534,-0.06362913247952562,-0.5353962397209561,-0.25340786275459154,-0.37082845387859964,-0.5596315165283866,0.23800846905213666,0.5894450667177269
KRUK,0.6594259751984581,0.6870099931881376,0.008699009716876255,0.32363975722894506,0.09263392942174628,-0.2745242043581469,-0.26304388255746397,-0.819415576073155,-0.3332067201069597
LPP,0.6802299529221199,1.0987365941780047,-0.004135917690995249,0.12056639521341458,5.282263589137743,0.07286818483907744,0.7735237585179999,2.3608296666143804,2.0134066494023206
MBANK,-0.5881215395733657,-1.0509969093192202,1.0931498591921622,-0.935299136304709,-0.20746714145109227,5.193813962622062,-0.4117328846732873,-0.3955828908370736,1.484169547447026
MILLENNIUM,-0.7563049551950694,-1.0816440438809565,-0.965606979438527,-0.935299136304709,-0.303846266940823,-0.11134066513577383,-0.42470433010086167,-0.18426504507879155,0.9150008739190236
ORANGEPL,-0.7948315235450767,-0.6753804365248086,0.412128659133955,0.5542627167430213,-0.30167944710912475,-0.1896668528338067,-0.6253701413735713,-1.7158824686512097,-1.5651326194942747
PEKAO,-0.10593245960743954,-0.8530676785567245,-0.05474248993455305,1.4721530608131521,-0.15586441673154744,-0.2806079257430219,-0.5354268100917643,-0.675463494550323,1.508424413826488
PEPCO,-1.0978458544864025,-1.250345366394827,4.213281682628105,-0.8208734363950493,-0.31540948598884716,0.015984004566112164,0.6575881490241178,0.7523161118469527,0.3530829209579918
PGE,-0.9117247672365185,-0.6931365691448189,0.26291511643908794,-0.935299136304709,-0.31225630897238327,-0.459083346727118,-0.7221356092597077,0.14540627437656506,0.19282298244834217
PKNORLEN,-0.46098839232270133,-0.2001671613834345,-0.05121262882521066,0.9324392737586773,-0.17720699294503653,-0.0368443939962686,-0.6951340687159204,-1.1492823196375777,-0.2993688104619759
PKOBP,-0.24201445296649088,-0.9254350373241318,-0.06624758685892192,0.3777245386717403,-0.2675739997458349,-0.24521233818245647,-0.4926387638374661,-0.9960064451557687,1.0605622699667399
PZU,0.21123211001094752,-0.6418143703161654,-0.07130119117359106,1.6314522802388944,-0.21322006058590198,-0.36393728737559294,-0.6684077041942957,-1.1186531071473176,0.30396172936717064
RAINBOW,0.7157919968013948,0.49322705945142203,-0.0011576374510185545,1.1747931973536783,-0.2179035790665918,-0.29363935042419537,-0.12324476004600855,0.8039510406009327,-0.3479849048730641
SANPL,-0.16849632223447397,-0.8543979403184717,-0.07615909922952589,0.8478603121632099,0.041764668992410874,-0.2603445952130676,-0.5023636788001486,-0.8688525080964776,1.0939203335215624
SYNEKTIK,0.1345160068648854,0.48363685647054155,-0.024705469787541394,-0.2931148349417394,-0.2314682297653325,-0.16508729379075557,0.8004669525660307,1.3767460067776602,0.494471365431454
TAURONPE,-1.0148898113242573,-1.000069249815433,-3.0571020635169424,-0.935299136304709,-0.30344104141112727,-0.6028266535840651,-0.7358910159328528,0.009663161728068035,-0.7239341764788896
XTB,1.5601541335322737,1.4924185468145723,0.016900409474742813,2.2574346050905896,-0.25130658239397097,-0.3213931049157092,-0.0981973201931067,0.3777182543190881,-0.5942550441708518
ZABKA,2.447388502711713,-0.4472299700028398,-0.09120418373832087,-0.935299136304709,-0.3031305746766563,0.3646073927688138,4.137144831973621,0.4404798186298888,-1.709315429422979
